timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/15 06:49:46.194, 0 %, 0 MiB, 33.47 W
2026/09/15 06:49:46.702, 0 %, 1 MiB, 33.61 W
2026/09/15 06:49:47.209, 0 %, 477 MiB, 43.06 W
2026/09/15 06:49:47.709, 0 %, 477 MiB, 51.87 W
2026/09/15 06:49:48.209, 1 %, 479 MiB, 78.27 W
2026/09/15 06:49:48.710, 0 %, 479 MiB, 78.38 W
2026/09/15 06:49:49.210, 0 %, 483 MiB, 78.33 W
2026/09/15 06:49:49.710, 0 %, 485 MiB, 78.29 W
2026/09/15 06:49:50.210, 0 %, 485 MiB, 78.68 W
2026/09/15 06:49:50.710, 0 %, 489 MiB, 78.64 W
2026/09/15 06:49:51.211, 0 %, 491 MiB, 78.39 W
2026/09/15 06:49:51.711, 1 %, 493 MiB, 78.63 W
2026/09/15 06:49:52.211, 0 %, 493 MiB, 78.72 W
2026/09/15 06:49:52.711, 0 %, 495 MiB, 78.59 W
2026/09/15 06:49:53.211, 0 %, 495 MiB, 78.56 W
2026/09/15 06:49:53.712, 0 %, 495 MiB, 78.75 W
2026/09/15 06:49:54.212, 0 %, 495 MiB, 78.70 W
2026/09/15 06:49:54.712, 0 %, 2165 MiB, 88.54 W
2026/09/15 06:49:55.212, 17 %, 3765 MiB, 87.57 W
2026/09/15 06:49:55.712, 0 %, 3765 MiB, 80.10 W
2026/09/15 06:49:56.212, 19 %, 5333 MiB, 80.21 W
2026/09/15 06:49:56.713, 0 %, 5333 MiB, 79.17 W
2026/09/15 06:49:57.213, 0 %, 5429 MiB, 79.26 W
2026/09/15 06:49:57.713, 0 %, 8501 MiB, 80.00 W
2026/09/15 06:49:58.213, 0 %, 9045 MiB, 80.67 W
2026/09/15 06:49:58.713, 0 %, 11415 MiB, 79.81 W
2026/09/15 06:49:59.214, 0 %, 11415 MiB, 79.19 W
2026/09/15 06:49:59.714, 0 %, 11415 MiB, 79.12 W
2026/09/15 06:50:00.214, 0 %, 11415 MiB, 78.94 W
2026/09/15 06:50:00.714, 0 %, 17263 MiB, 82.25 W
2026/09/15 06:50:01.215, 0 %, 17263 MiB, 116.01 W
2026/09/15 06:50:01.715, 79 %, 17263 MiB, 159.58 W
2026/09/15 06:50:02.215, 0 %, 17263 MiB, 117.79 W
2026/09/15 06:50:02.716, 59 %, 17263 MiB, 133.49 W
2026/09/15 06:50:03.216, 87 %, 27727 MiB, 207.76 W
2026/09/15 06:50:03.716, 83 %, 27727 MiB, 211.32 W
2026/09/15 06:50:04.216, 98 %, 27729 MiB, 254.35 W
2026/09/15 06:50:04.717, 96 %, 27729 MiB, 278.47 W
2026/09/15 06:50:05.217, 91 %, 27729 MiB, 230.04 W
2026/09/15 06:50:05.717, 63 %, 27729 MiB, 209.56 W
2026/09/15 06:50:06.217, 94 %, 29009 MiB, 171.17 W
2026/09/15 06:50:06.717, 98 %, 29009 MiB, 157.81 W
2026/09/15 06:50:07.218, 86 %, 29009 MiB, 159.67 W
2026/09/15 06:50:07.718, 91 %, 29009 MiB, 197.99 W
2026/09/15 06:50:08.218, 0 %, 29009 MiB, 145.20 W
2026/09/15 06:50:08.718, 0 %, 29009 MiB, 102.98 W
2026/09/15 06:50:09.218, 68 %, 29009 MiB, 109.03 W
2026/09/15 06:50:09.719, 100 %, 29009 MiB, 226.98 W
2026/09/15 06:50:10.219, 3 %, 29009 MiB, 226.30 W
2026/09/15 06:50:10.719, 100 %, 29009 MiB, 228.58 W
2026/09/15 06:50:11.219, 100 %, 29009 MiB, 339.25 W
2026/09/15 06:50:11.719, 80 %, 29009 MiB, 347.64 W
2026/09/15 06:50:12.219, 100 %, 29009 MiB, 338.55 W
2026/09/15 06:50:12.720, 100 %, 29009 MiB, 235.01 W
2026/09/15 06:50:13.220, 100 %, 29009 MiB, 97.47 W
2026/09/15 06:50:13.720, 100 %, 29009 MiB, 97.14 W
2026/09/15 06:50:14.220, 100 %, 29009 MiB, 96.95 W
2026/09/15 06:50:14.720, 100 %, 29009 MiB, 96.84 W
2026/09/15 06:50:15.220, 100 %, 29009 MiB, 96.80 W
2026/09/15 06:50:15.720, 100 %, 29009 MiB, 96.80 W
2026/09/15 06:50:16.220, 100 %, 29009 MiB, 96.80 W
2026/09/15 06:50:16.720, 100 %, 29009 MiB, 96.78 W
2026/09/15 06:50:17.221, 100 %, 29009 MiB, 96.73 W
2026/09/15 06:50:17.721, 100 %, 29009 MiB, 96.70 W
2026/09/15 06:50:18.221, 100 %, 29009 MiB, 96.71 W
2026/09/15 06:50:18.721, 100 %, 29009 MiB, 96.73 W
2026/09/15 06:50:19.221, 100 %, 29009 MiB, 96.75 W
2026/09/15 06:50:19.721, 100 %, 29009 MiB, 96.82 W
2026/09/15 06:50:20.221, 100 %, 29009 MiB, 96.85 W
2026/09/15 06:50:20.722, 100 %, 29009 MiB, 96.88 W
2026/09/15 06:50:21.222, 100 %, 29009 MiB, 96.87 W
2026/09/15 06:50:21.722, 100 %, 29009 MiB, 96.88 W
2026/09/15 06:50:22.222, 0 %, 29009 MiB, 90.42 W
2026/09/15 06:50:22.722, 0 %, 29009 MiB, 83.52 W
2026/09/15 06:50:23.222, 0 %, 29009 MiB, 83.52 W
2026/09/15 06:50:23.722, 0 %, 29009 MiB, 81.16 W
2026/09/15 06:50:24.223, 0 %, 29009 MiB, 81.16 W
2026/09/15 06:50:24.723, 0 %, 29009 MiB, 81.39 W
2026/09/15 06:50:25.223, 0 %, 29009 MiB, 81.39 W
2026/09/15 06:50:25.723, 0 %, 29009 MiB, 81.63 W
2026/09/15 06:50:26.223, 0 %, 29009 MiB, 81.63 W
2026/09/15 06:50:26.723, 0 %, 29009 MiB, 81.48 W
2026/09/15 06:50:27.224, 0 %, 29009 MiB, 81.48 W
2026/09/15 06:50:27.724, 0 %, 29009 MiB, 81.21 W
2026/09/15 06:50:28.224, 0 %, 29009 MiB, 81.21 W
2026/09/15 06:50:28.724, 0 %, 29009 MiB, 81.43 W
2026/09/15 06:50:29.224, 0 %, 29009 MiB, 81.43 W
2026/09/15 06:50:29.724, 0 %, 29009 MiB, 81.58 W
2026/09/15 06:50:30.225, 0 %, 29009 MiB, 81.58 W
2026/09/15 06:50:30.725, 0 %, 29009 MiB, 81.46 W
2026/09/15 06:50:31.225, 0 %, 29009 MiB, 81.46 W
2026/09/15 06:50:31.725, 0 %, 29009 MiB, 81.36 W
2026/09/15 06:50:32.225, 0 %, 29009 MiB, 81.36 W
2026/09/15 06:50:32.725, 0 %, 29009 MiB, 81.39 W
2026/09/15 06:50:33.225, 0 %, 29009 MiB, 81.39 W
2026/09/15 06:50:33.725, 0 %, 29009 MiB, 81.61 W
2026/09/15 06:50:34.226, 0 %, 29009 MiB, 81.61 W
2026/09/15 06:50:34.726, 0 %, 29009 MiB, 81.36 W
2026/09/15 06:50:35.226, 0 %, 29009 MiB, 81.36 W
2026/09/15 06:50:35.726, 0 %, 29009 MiB, 81.51 W
2026/09/15 06:50:36.226, 0 %, 29009 MiB, 81.51 W
2026/09/15 06:50:36.726, 0 %, 29009 MiB, 81.66 W
2026/09/15 06:50:37.227, 0 %, 29009 MiB, 81.66 W
2026/09/15 06:50:37.727, 0 %, 29009 MiB, 81.51 W
2026/09/15 06:50:38.227, 0 %, 29009 MiB, 81.51 W
2026/09/15 06:50:38.727, 0 %, 29009 MiB, 81.49 W
2026/09/15 06:50:39.227, 0 %, 29009 MiB, 81.49 W
2026/09/15 06:50:39.727, 0 %, 29009 MiB, 81.61 W
2026/09/15 06:50:40.228, 0 %, 29009 MiB, 81.61 W
2026/09/15 06:50:40.728, 0 %, 29009 MiB, 81.74 W
2026/09/15 06:50:41.228, 0 %, 29009 MiB, 81.74 W
2026/09/15 06:50:41.728, 0 %, 29009 MiB, 81.74 W
2026/09/15 06:50:42.228, 0 %, 29009 MiB, 81.74 W
2026/09/15 06:50:42.728, 0 %, 29009 MiB, 82.00 W
2026/09/15 06:50:43.229, 0 %, 29009 MiB, 82.00 W
2026/09/15 06:50:43.729, 0 %, 29009 MiB, 81.63 W
2026/09/15 06:50:44.229, 0 %, 29009 MiB, 81.63 W
2026/09/15 06:50:44.729, 0 %, 29009 MiB, 81.49 W
2026/09/15 06:50:45.230, 0 %, 29009 MiB, 81.49 W
2026/09/15 06:50:45.730, 0 %, 29009 MiB, 81.73 W
2026/09/15 06:50:46.230, 0 %, 29009 MiB, 81.73 W
2026/09/15 06:50:46.730, 0 %, 29009 MiB, 81.48 W
2026/09/15 06:50:47.230, 0 %, 29009 MiB, 81.48 W
2026/09/15 06:50:47.731, 0 %, 29009 MiB, 81.24 W
2026/09/15 06:50:48.231, 0 %, 29009 MiB, 81.24 W
2026/09/15 06:50:48.732, 0 %, 29009 MiB, 81.33 W
2026/09/15 06:50:49.232, 0 %, 29009 MiB, 81.33 W
2026/09/15 06:50:49.733, 0 %, 29009 MiB, 81.46 W
2026/09/15 06:50:50.234, 0 %, 29009 MiB, 81.46 W
2026/09/15 06:50:50.734, 0 %, 29009 MiB, 81.23 W
2026/09/15 06:50:51.235, 0 %, 29009 MiB, 81.23 W
2026/09/15 06:50:51.735, 0 %, 29009 MiB, 80.86 W
2026/09/15 06:50:52.235, 0 %, 29009 MiB, 80.86 W
2026/09/15 06:50:52.736, 0 %, 29009 MiB, 80.74 W
2026/09/15 06:50:53.236, 0 %, 29009 MiB, 80.74 W
2026/09/15 06:50:53.736, 0 %, 29009 MiB, 80.86 W
2026/09/15 06:50:54.236, 0 %, 29009 MiB, 80.86 W
2026/09/15 06:50:54.736, 0 %, 29009 MiB, 80.74 W
2026/09/15 06:50:55.237, 0 %, 29009 MiB, 80.74 W
2026/09/15 06:50:55.738, 0 %, 29009 MiB, 80.49 W
2026/09/15 06:50:56.238, 0 %, 29009 MiB, 80.49 W
2026/09/15 06:50:56.739, 0 %, 29009 MiB, 80.12 W
2026/09/15 06:50:57.239, 0 %, 29009 MiB, 80.12 W
2026/09/15 06:50:57.739, 0 %, 29009 MiB, 80.12 W
2026/09/15 06:50:58.239, 0 %, 29009 MiB, 80.12 W
2026/09/15 06:50:58.740, 0 %, 29009 MiB, 80.27 W
2026/09/15 06:50:59.240, 0 %, 29009 MiB, 80.27 W
2026/09/15 06:50:59.740, 0 %, 29009 MiB, 80.02 W
2026/09/15 06:51:00.241, 0 %, 29009 MiB, 80.02 W
2026/09/15 06:51:00.741, 0 %, 29009 MiB, 80.02 W
2026/09/15 06:51:01.241, 0 %, 29009 MiB, 80.02 W
2026/09/15 06:51:01.741, 0 %, 29009 MiB, 79.89 W
2026/09/15 06:51:02.242, 0 %, 29009 MiB, 79.89 W
2026/09/15 06:51:02.742, 0 %, 29009 MiB, 79.02 W
2026/09/15 06:51:03.242, 0 %, 29009 MiB, 79.02 W
2026/09/15 06:51:03.742, 0 %, 29009 MiB, 78.53 W
2026/09/15 06:51:04.243, 0 %, 29009 MiB, 78.53 W
2026/09/15 06:51:04.743, 0 %, 29009 MiB, 78.50 W
2026/09/15 06:51:05.243, 0 %, 29009 MiB, 78.50 W
2026/09/15 06:51:05.743, 0 %, 29009 MiB, 78.26 W
2026/09/15 06:51:06.243, 0 %, 29009 MiB, 78.26 W
2026/09/15 06:51:06.744, 0 %, 29009 MiB, 78.15 W
2026/09/15 06:51:07.244, 0 %, 29009 MiB, 78.15 W
2026/09/15 06:51:07.744, 0 %, 29009 MiB, 78.30 W
2026/09/15 06:51:08.244, 0 %, 29009 MiB, 78.30 W
2026/09/15 06:51:08.745, 0 %, 29009 MiB, 78.28 W
2026/09/15 06:51:09.245, 0 %, 29009 MiB, 78.28 W
2026/09/15 06:51:09.745, 0 %, 29009 MiB, 78.01 W
2026/09/15 06:51:10.245, 0 %, 29009 MiB, 78.01 W
2026/09/15 06:51:10.746, 0 %, 29009 MiB, 78.01 W
2026/09/15 06:51:11.246, 0 %, 29009 MiB, 78.01 W
2026/09/15 06:51:11.746, 0 %, 29009 MiB, 78.15 W
2026/09/15 06:51:12.246, 0 %, 29009 MiB, 78.15 W
2026/09/15 06:51:12.747, 0 %, 29009 MiB, 77.93 W
2026/09/15 06:51:13.247, 0 %, 29009 MiB, 77.93 W
2026/09/15 06:51:13.747, 0 %, 29009 MiB, 77.90 W
2026/09/15 06:51:14.247, 0 %, 29009 MiB, 77.90 W
2026/09/15 06:51:14.747, 0 %, 29009 MiB, 78.00 W
2026/09/15 06:51:15.248, 0 %, 29009 MiB, 78.00 W
2026/09/15 06:51:15.748, 0 %, 29009 MiB, 77.61 W
2026/09/15 06:51:16.248, 0 %, 29009 MiB, 77.61 W
2026/09/15 06:51:16.748, 0 %, 29009 MiB, 77.46 W
2026/09/15 06:51:17.249, 0 %, 29009 MiB, 77.46 W
2026/09/15 06:51:17.749, 0 %, 29009 MiB, 77.73 W
2026/09/15 06:51:18.249, 0 %, 29009 MiB, 77.73 W
2026/09/15 06:51:18.749, 0 %, 29009 MiB, 77.78 W
2026/09/15 06:51:19.249, 0 %, 29009 MiB, 77.78 W
2026/09/15 06:51:19.750, 0 %, 29009 MiB, 77.51 W
2026/09/15 06:51:20.250, 0 %, 29009 MiB, 77.51 W
2026/09/15 06:51:20.750, 0 %, 29009 MiB, 77.93 W
2026/09/15 06:51:21.250, 0 %, 29009 MiB, 78.07 W
2026/09/15 06:51:21.750, 0 %, 29009 MiB, 78.07 W
2026/09/15 06:51:22.251, 85 %, 29009 MiB, 125.77 W
2026/09/15 06:51:22.751, 2 %, 29009 MiB, 117.69 W
2026/09/15 06:51:23.251, 4 %, 29009 MiB, 112.38 W
2026/09/15 06:51:23.751, 7 %, 29009 MiB, 89.24 W
2026/09/15 06:51:24.252, 100 %, 29009 MiB, 109.48 W
2026/09/15 06:51:24.752, 89 %, 29009 MiB, 183.34 W
2026/09/15 06:51:25.252, 94 %, 29009 MiB, 260.75 W
2026/09/15 06:51:25.754, 98 %, 29009 MiB, 262.22 W
2026/09/15 06:51:26.254, 88 %, 29009 MiB, 266.33 W
2026/09/15 06:51:26.754, 88 %, 29009 MiB, 257.55 W
2026/09/15 06:51:27.254, 89 %, 29009 MiB, 241.15 W
