timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/15 06:45:46.655, 0 %, 0 MiB, 33.28 W
2026/09/15 06:45:47.161, 0 %, 1 MiB, 34.32 W
2026/09/15 06:45:47.661, 0 %, 477 MiB, 48.65 W
2026/09/15 06:45:48.161, 0 %, 477 MiB, 57.06 W
2026/09/15 06:45:48.661, 3 %, 479 MiB, 78.94 W
2026/09/15 06:45:49.162, 0 %, 479 MiB, 79.09 W
2026/09/15 06:45:49.662, 0 %, 483 MiB, 79.51 W
2026/09/15 06:45:50.162, 0 %, 485 MiB, 79.31 W
2026/09/15 06:45:50.662, 0 %, 485 MiB, 78.99 W
2026/09/15 06:45:51.162, 0 %, 489 MiB, 79.21 W
2026/09/15 06:45:51.663, 0 %, 491 MiB, 79.35 W
2026/09/15 06:45:52.163, 1 %, 493 MiB, 79.31 W
2026/09/15 06:45:52.663, 0 %, 493 MiB, 79.19 W
2026/09/15 06:45:53.163, 0 %, 495 MiB, 79.27 W
2026/09/15 06:45:53.663, 0 %, 495 MiB, 79.39 W
2026/09/15 06:45:54.163, 0 %, 495 MiB, 79.47 W
2026/09/15 06:45:54.664, 0 %, 627 MiB, 79.47 W
2026/09/15 06:45:55.164, 0 %, 2165 MiB, 79.00 W
2026/09/15 06:45:55.664, 15 %, 3765 MiB, 79.42 W
2026/09/15 06:45:56.164, 0 %, 3765 MiB, 80.18 W
2026/09/15 06:45:56.664, 19 %, 5333 MiB, 80.11 W
2026/09/15 06:45:57.165, 0 %, 5333 MiB, 78.77 W
2026/09/15 06:45:57.665, 0 %, 5365 MiB, 77.89 W
2026/09/15 06:45:58.165, 0 %, 8501 MiB, 78.82 W
2026/09/15 06:45:58.665, 0 %, 9045 MiB, 79.46 W
2026/09/15 06:45:59.165, 0 %, 11415 MiB, 78.56 W
2026/09/15 06:45:59.666, 0 %, 11415 MiB, 78.38 W
2026/09/15 06:46:00.166, 0 %, 11415 MiB, 78.57 W
2026/09/15 06:46:00.666, 0 %, 11415 MiB, 78.39 W
2026/09/15 06:46:01.166, 0 %, 17113 MiB, 81.00 W
2026/09/15 06:46:01.669, 0 %, 17327 MiB, 114.82 W
2026/09/15 06:46:02.169, 75 %, 17327 MiB, 139.50 W
2026/09/15 06:46:02.669, 0 %, 17327 MiB, 95.30 W
2026/09/15 06:46:03.170, 92 %, 17327 MiB, 135.51 W
2026/09/15 06:46:03.670, 88 %, 27023 MiB, 179.70 W
2026/09/15 06:46:04.170, 86 %, 27855 MiB, 190.18 W
2026/09/15 06:46:04.670, 99 %, 27855 MiB, 243.29 W
2026/09/15 06:46:05.171, 100 %, 27855 MiB, 246.05 W
2026/09/15 06:46:05.671, 60 %, 27857 MiB, 227.02 W
2026/09/15 06:46:06.171, 45 %, 27857 MiB, 231.91 W
2026/09/15 06:46:06.671, 99 %, 29137 MiB, 202.09 W
2026/09/15 06:46:07.171, 99 %, 29137 MiB, 169.02 W
2026/09/15 06:46:07.672, 91 %, 29137 MiB, 151.93 W
2026/09/15 06:46:08.172, 90 %, 29137 MiB, 155.98 W
2026/09/15 06:46:08.672, 100 %, 29137 MiB, 128.35 W
2026/09/15 06:46:09.172, 0 %, 29137 MiB, 90.99 W
2026/09/15 06:46:09.672, 0 %, 29137 MiB, 82.42 W
2026/09/15 06:46:10.172, 3 %, 29137 MiB, 78.98 W
2026/09/15 06:46:10.673, 100 %, 29137 MiB, 208.55 W
2026/09/15 06:46:11.173, 3 %, 29137 MiB, 212.05 W
2026/09/15 06:46:11.673, 100 %, 29137 MiB, 211.52 W
2026/09/15 06:46:12.173, 100 %, 29137 MiB, 304.73 W
2026/09/15 06:46:12.673, 80 %, 29137 MiB, 323.64 W
2026/09/15 06:46:13.173, 100 %, 29137 MiB, 335.92 W
2026/09/15 06:46:13.674, 100 %, 29137 MiB, 251.83 W
2026/09/15 06:46:14.174, 100 %, 29137 MiB, 135.44 W
2026/09/15 06:46:14.674, 0 %, 29137 MiB, 90.12 W
2026/09/15 06:46:15.174, 0 %, 29137 MiB, 82.58 W
2026/09/15 06:46:15.674, 0 %, 29137 MiB, 81.06 W
2026/09/15 06:46:16.174, 0 %, 29137 MiB, 81.06 W
2026/09/15 06:46:16.675, 0 %, 29137 MiB, 78.04 W
2026/09/15 06:46:17.175, 0 %, 29137 MiB, 78.04 W
2026/09/15 06:46:17.675, 0 %, 29137 MiB, 78.03 W
2026/09/15 06:46:18.175, 0 %, 29137 MiB, 78.03 W
2026/09/15 06:46:18.675, 0 %, 29137 MiB, 77.91 W
2026/09/15 06:46:19.176, 0 %, 29137 MiB, 77.91 W
2026/09/15 06:46:19.676, 0 %, 29137 MiB, 78.05 W
2026/09/15 06:46:20.176, 0 %, 29137 MiB, 78.05 W
2026/09/15 06:46:20.676, 0 %, 29137 MiB, 78.30 W
2026/09/15 06:46:21.177, 0 %, 29137 MiB, 78.30 W
2026/09/15 06:46:21.677, 0 %, 29137 MiB, 78.33 W
2026/09/15 06:46:22.177, 0 %, 29137 MiB, 78.33 W
2026/09/15 06:46:22.677, 0 %, 29137 MiB, 78.33 W
2026/09/15 06:46:23.177, 0 %, 29137 MiB, 78.33 W
2026/09/15 06:46:23.678, 0 %, 29137 MiB, 78.05 W
2026/09/15 06:46:24.178, 0 %, 29137 MiB, 78.05 W
2026/09/15 06:46:24.678, 0 %, 29137 MiB, 78.03 W
2026/09/15 06:46:25.178, 0 %, 29137 MiB, 78.03 W
2026/09/15 06:46:25.678, 0 %, 29137 MiB, 77.88 W
2026/09/15 06:46:26.179, 0 %, 29137 MiB, 77.88 W
2026/09/15 06:46:26.679, 0 %, 29137 MiB, 77.91 W
2026/09/15 06:46:27.180, 0 %, 29137 MiB, 77.91 W
2026/09/15 06:46:27.680, 0 %, 29137 MiB, 78.05 W
2026/09/15 06:46:28.180, 0 %, 29137 MiB, 78.05 W
2026/09/15 06:46:28.680, 0 %, 29137 MiB, 78.03 W
2026/09/15 06:46:29.180, 0 %, 29137 MiB, 78.03 W
2026/09/15 06:46:29.681, 0 %, 29137 MiB, 77.98 W
2026/09/15 06:46:30.181, 0 %, 29137 MiB, 77.59 W
2026/09/15 06:46:30.681, 0 %, 29137 MiB, 77.59 W
2026/09/15 06:46:31.181, 0 %, 29137 MiB, 77.51 W
2026/09/15 06:46:31.681, 0 %, 29137 MiB, 77.51 W
2026/09/15 06:46:32.181, 0 %, 29137 MiB, 77.53 W
2026/09/15 06:46:32.682, 0 %, 29137 MiB, 77.53 W
2026/09/15 06:46:33.182, 0 %, 29137 MiB, 77.66 W
2026/09/15 06:46:33.682, 0 %, 29137 MiB, 77.66 W
2026/09/15 06:46:34.182, 0 %, 29137 MiB, 77.63 W
2026/09/15 06:46:34.682, 0 %, 29137 MiB, 77.63 W
